ID,X,Y,Layer
1006003,-2.237102534,8.280367634,GhanaHydro_1006003
1006007,-2.735439278,9.162872336,GhanaHydro_1006007
1010002,0.317092008,9.602929326,GhanaHydro_1010002
3000003,-2.486222866,6.238771994,GhanaHydro_3000003
3000004,-2.325427867,6.970398381,GhanaHydro_3000004
5000001,-1.552889976,5.599899479,GhanaHydro_5000001
9000005,-0.353763251,5.812891184,GhanaHydro_9000005
9000008,-0.313800533,6.087096251,GhanaHydro_9000008
1526200,-2.1220598,5.44623723,GRDC_1526200
1526300,-1.633394316,5.165387934,GRDC_1526300
1526801,-0.594655953,5.382083059,GRDC_1526801
1531050,-2.93876107,10.63713478,GRDC_1531050
1531100,-2.035457881,8.149563235,GRDC_1531100
1531300,-0.882910071,7.982053632,GRDC_1531300
1531420,-1.287834829,10.2437785,GRDC_1531420
1531430,-1.326981134,10.33876126,GRDC_1531430
1531450,-1.091174045,9.695424079,GRDC_1531450
1531550,-0.842040572,10.57872283,GRDC_1531550
1531600,-0.380402391,10.97956471,GRDC_1531600
1531650,-0.60376487,10.87038633,GRDC_1531650
1531800,0.229693878,9.303919347,GRDC_1531800