fid,ID,Latitude,Longitude,Source,No Data %,date_start,date_end
1,1006003,8.2833330,-2.2333330,GhanaHydrologicalAuthority,0,1/1/99,12/31/11
2,1006007,9.1666670,-2.7166670,GhanaHydrologicalAuthority,0,1/1/99,12/31/11
3,1010002,9.6000000,-0.3166670,GhanaHydrologicalAuthority,0.021,1/1/03,12/31/15
4,3000003,6.1705560,-2.4805560,GhanaHydrologicalAuthority,20.8732,1/1/99,12/31/14
5,3000004,6.9691670,-2.3302780,GhanaHydrologicalAuthority,6.509,1/1/99,12/31/16
6,5000001,5.6000000,-1.5500000,GhanaHydrologicalAuthority,0.0238,1/1/99,12/31/21
7,9000005,5.8166670,-0.3500000,GhanaHydrologicalAuthority,0,1/1/99,12/31/22
8,9000008,6.0833330,-0.3333330,GhanaHydrologicalAuthority,0,1/1/99,12/31/22
9,1526200,5.44623723,-2.1220598,GRDC,0,1/1/99,12/31/22
10,1526300,5.165387934,-1.633394316,GRDC,0,1/1/79,12/31/06
11,1526801,5.385513335,-0.595397295,GRDC,37.0735,1/1/79,1/31/07
12,1531050,10.63051297,-2.939577802,GRDC,37.6521,1/1/75,2/28/07
13,1531100,8.149563235,-2.035457881,GRDC,0,1/1/99,12/31/20
14,1531300,7.982053632,-0.882910071,GRDC,2.1996,10/28/98,2/28/07
15,1531420,10.24459523,-1.282947,GRDC,0,1/1/99,12/31/20
16,1531430,10.33452682,-1.349560641,GRDC,70.1873,4/22/75,2/28/07
17,1531450,9.700424994,-1.094616886,GRDC,0,1/1/99,12/31/22
18,1531550,10.58372374,-0.841261535,GRDC,0,1/1/99,12/31/22
19,1531600,10.97873541,-0.387112161,GRDC,69.4311,1/4/75,2/28/07
20,1531650,10.86724505,-0.60379,GRDC,88.6216,7/10/75,2/28/07
21,1531800,9.30309005,0.23107604,GRDC,0,1/1/99,12/31/20